# Tier-1 platform case ledger for the compiled-build CI gates.
#
# This table names the compiled-build behaviour the task acceptance criteria
# require each runner to execute.  `.github/ci/platform-case-gate.sh` enforces
# it against a real `go test -json` stream:
#
#   * every row listing this GOOS in `must_run_on` must be observed PASSING.
#     A rename, a deletion, a `-run` filter matching nothing, a missing
#     interpreter or an unset conformance root all fail here by name instead
#     of quietly shrinking the run.
#   * a skip of a listed case -- or of any of its subtests -- is FATAL unless
#     a row tolerates it on this GOOS.
#   * `.github/ci/ledger-consistency.sh` separately proves, from `go list` on
#     each target GOOS, that every case a row requires is actually compiled
#     into that platform's build, and that no platform where a case IS
#     compiled in is left undeclared.
#
# Columns are TAB separated:
#   package  test  must_run_on  skip_allowed_on  class  behaviour
#
# `test` may name a subtest (`Parent/child`) or use the `Parent/*` form, which
# tolerates a skip of any subtest of `Parent` while still requiring `Parent`
# itself to pass.  `must_run_on` / `skip_allowed_on` take a comma separated
# subset of {linux,darwin,windows}, or `-` for the empty set.
#
# `class` records WHY a tolerated skip is legitimate and is checked against
# the reason text the test actually printed:
#   platform-control  a control rc5-native-control-inventory-v1 defines for
#                     another platform only -- the AC's explicit carve-out
#   host-capability   the runner filesystem cannot create the artefact the
#                     vector needs (symlink, hard link, reparse point, FIFO,
#                     non-UTF-8 name)
#   root-content      the supplied conformance root publishes no such vector
#                     group
#   opt-in            an explicit developer environment variable
#
# A GOOS on which the case's package is excluded by the supplied conformance
# root's own qualification vector (see `.github/ci/suite-plan.sh`) is neither
# required nor an omission: the exclusion is asserted positively by the
# rejection case at the bottom of this file.
#
# package	test	must_run_on	skip_allowed_on	class	behaviour

# ===========================================================================
# Windows DACL / security descriptor
# ===========================================================================
internal/buildcache	TestWindowsProtectedStateMatrix	windows	-	-	Windows DACL protected-state matrix for the build cache
internal/buildcache	TestWindowsProtectedStateMatrix/*	-	windows	host-capability	a subtest needing a Windows symlink may skip where the host forbids it; the matrix itself must still pass
internal/buildcache	TestValidateWindowsSecurityPolicy	windows	-	-	validates the Windows security-descriptor policy on cache state
internal/buildrepo	TestWindowsProtectedStoreReusesOwnerPrivateArtifact	windows	-	-	trusted owner-controlled protected external artifacts are reusable
internal/buildrepo	TestWindowsProtectedStoreReusesOwnerPrivateSnapshot	windows	-	-	trusted owner-controlled protected external snapshots are reusable
internal/buildrepo	TestWindowsProtectedSecurityDescriptorRejectsWrongOwnerAndDACL	windows	-	-	owner and exact protected-DACL policy rejects adversarial descriptors
internal/buildrepo	TestWindowsProtectedArtifactAdversarialStateQuarantines	windows	-	-	hard-link DACL and reparse attacks force protected external artifact quarantine
internal/buildrepo	TestWindowsProtectedArtifactAdversarialStateQuarantines/*	-	windows	host-capability	a reparse-point subtest may skip where the host forbids symlink creation
internal/buildrepo	TestWindowsProtectedArtifactPathSwapCannotReturnBytes	windows	-	-	path replacement during retained-handle validation cannot return cache bytes
internal/buildrepo	TestWindowsProtectedArtifactEntrySwapCannotReturnBytes	windows	-	-	entry-directory replacement during guarded validation cannot return cache bytes
internal/buildrepo	TestWindowsProtectedSnapshotHardLinkQuarantines	windows	-	-	hard-linked protected snapshot files force quarantine

# ===========================================================================
# Windows reparse points
# ===========================================================================
internal/buildcache	TestSweepDoesNotFollowAReparsedEntry	windows	windows	host-capability	cache sweep refuses to traverse a reparse point inside an entry
internal/buildcache	TestSweepDoesNotFollowAReparsedCacheRoot	windows	windows	host-capability	cache sweep refuses to traverse a reparsed cache root
internal/scopes	TestCollectStaysFailSafeOnRedirectedWindowsScopes	windows	windows	host-capability	GC stays fail-safe when a Windows scope is redirected by a reparse point

# ===========================================================================
# Windows `.cmd` launchers
# ===========================================================================
internal/runtimestore	TestWindowsPostInstallWrappersForwardArgumentsPathAndExitCode	windows	-	-	the installed `.cmd` wrapper forwards arguments, PATH and exit code through cmd.exe
internal/runtimestore	TestInstallSingleCommandAndShims	linux,darwin,windows	-	-	writes the `run.cmd` Windows launcher and asserts its `@echo off` payload
internal/runtimestore	TestRuntimeCommandPath	linux,darwin,windows	-	-	maps a `tool.cmd` Windows launcher back to its command name
